tutkintokerta;koulun_nro;koulun_nimi;opetuskieli;tyyppi;sukup;yht;A;O;Z;I;W;Q;A5;O5;M;N;BI;FF;FY;HI;PS;UE;UO;ET;GE;KE;TE;YH;BA;BB;CA;CB;EA;FA;SA;PA;VA;EC;FC;SC;PC;VC;DC;IC;QC;GC;TC;L1;L7;opintotausta
2020K;1488;Vieremän lukio;FI;;2;9;3;;;;;;;;3;;;;;;;;;;;;3;;;0;;;;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;1;16;4;;;;;;;;3;;;;;;;;;;4;;;;;;;;5;;;;;;;;;;;;;;;;;3
2020K;1488;Vieremän lukio;FI;;2;14;3;;;;;;;;3;;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;15;5;;;;;;;;;;;;;;;4;;;;;;;;4;;;2;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;22;6;;;;;;;;;;;;;;;5;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;1;13;3;;;;;;;;;3;;;;;;;;;3;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;10;3;;;;;;;;;;;2;;;;;;;;;;;;2;;;3;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;18;6;;;;;;;;;;;;;;6;;;;;;;;;4;;;2;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;26;6;;;;;;;;6;;;;;;;;;;;;7;;;;;;;;;;;7;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;18;2;;;;;;;;;6;;;;;;;;;;;6;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;4;;;;;;;;5;;;;5;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;6;;;;;;;;;;;;;6;;;;;;;;;7;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;5;;;;;;;;3;;;;;5;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;18;4;;;;;;;;5;;;;;;;;;;;;;;;4;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;20;4;;;;;;;;;;;;;5;;;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
