koulun_nimi,sukup,A,alin_ka_17
vieremän lukio,2,3,6.83
vieremän lukio,1,4,6.83
vieremän lukio,2,3,6.83
vieremän lukio,2,5,6.83
vieremän lukio,2,6,6.83
vieremän lukio,1,3,6.83
vieremän lukio,2,3,6.83
vieremän lukio,2,6,6.83
vieremän lukio,2,6,6.83
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,2,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,7,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,7,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,7,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,7,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,5,8.67
sulkavan lukio,2,4,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,4,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,2,4,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,3,7.5
heinäveden lukio,1,5,7.42
heinäveden lukio,1,2,7.42
heinäveden lukio,1,2,7.42
heinäveden lukio,1,2,7.42
heinäveden lukio,2,6,7.42
heinäveden lukio,2,5,7.42
oulunkylän yhteiskoulu,2,6,9
